自制宅男快乐器，吃喝玩乐游戏机,355.4万,4.7万,手工耿,4069644
摸摸摸挑战,262.8万,1.5万,小潮院长,3912131
课 堂 请 勿 对 对 子 2.0 ！！！,224.3万,1.7万,三十六贱笑,3838613
史上最强！2021年1月新番导视！,242.1万,4万,LexBurner,3830255
绝了！重读小学全年级语文，发现了很多好玩的东西,173.1万,1.7万,凉风Kaze,2792236
洲 际 导 弹 【C4快乐阴人流#10】,141.3万,8906,鲁大能,2734627
一天40000块，我们完成了史上最成功的整蛊！,123.2万,5805,影视飓风,2597836
【书记舞】论初中生有多呆,221.8万,6047,呆Q超呆,2554774
【不看后悔】3天过四六级！揭秘出题人套路【救命技巧】临时抱佛脚|英语|考试|学习|四级|六级|经验分享,68.1万,7.1万,是你们的康康,2510511
【毕导】人生的重大决定！哪年才能毕业？喜欢看哪位up？读评论#2,100.6万,3.3万,毕导THU,2471291
我把这张强力卡牌赐予你【水无月菌】,146.7万,6856,水无月菌,2234106
当MC大神距上课迟到还有一分钟！,141.5万,1883,FoFTG,2099299
你当你的火影，我做我的海贼王，这很合理吧！！,186.6万,2980,-夏秋冬-,2092642
这真的最后一次了！  且珍惜！！！,121.9万,6502,东尼ookii,2066494
半部英剧治天下！英国首相极力推荐！9.8分硬核神剧《是，首相》（01/S1E1&E2）,106.4万,7686,木鱼水心,2060023
每次买饮品念名字真的好羞耻,245万,3019,大霓奈,2052167
我出车祸了，一下被撞掉14万是什么感受...,98.8万,9147,泛式,2017231
抱歉，我是没拿到Offer的丁辉,140.7万,3766,普通人类实录,2013696
这就是宝可梦的魅力吗？,128万,1.3万,花少北丶,2008232
中世纪富豪老番茄,213.9万,9553,老番茄,2004978
大家好，我是日本声优丰崎爱生，我来B站啦！,114.2万,9042,丰崎爱生Official,1946647
“这么晚谁给你发的消息？”,131.2万,8749,自来卷三木,1937573
中国水最少的火锅？68元10个菜，偷学骨汤泡饼太绝了！,152.7万,1.3万,盗月社食遇记,1909725
【逍遥散人x翠花】《Acting》,63.8万,6407,逍遥散人,1907156
当国人战队抱团抗韩【解说全覆盖25期】,78.8万,4364,南云鸟羽,1896259
《小王子》全集 (中英对照) (大人更应该读的童话),51.6万,2928,英语兔,1883873
每次我撑不下去的时候 就会打开这个视频,108.4万,1.8万,张三的传奇一生,1858596
请 别 忘 记 她,61万,1555,二二酸酸,1816142
在世界上最小的山上看日出是什么样的体验？,111.2万,1.2万,啊吗粽,1809715
125位艺术家，125种截然不同的平行宇宙畅想,75.2万,1536,YouTube精选字幕组,1796829
如果火影是日常画风 火影×日常op,73万,820,热心市民周湿傅,1793142
【更新】某幻《赛博朋克2077》等了50多年，终于来了！,244.5万,2.9万,某幻君,1765158
历时9个月，自制谷歌眼镜，超高性能，新的设计理念（内网云计算概念）,100.8万,2471,-江灵夏草-,1751621
50帧暴涨100帧！ 中 低  高 显卡运行赛博朋克优化指南！【教程向】,50.5万,2347,阿狸才不是受,1721449
火影忍者上春晚了？,91.2万,2318,焦大仙啊,1718941
《 最 强 炸 鸡 腿 》,140.4万,2.2万,记录生活的蛋黄派,1677030
听到这个警笛头的声音我就尿了！,109.4万,1.4万,中国BOY超级大猩猩,1663443
华农兄弟：猪大肠B偷吃兄弟家的菜，估计是没救了，只好烤了,184.6万,2.1万,华农兄弟,1653497
为了和5只猫睡觉，女主人买了婴儿床，男主人不用睡沙发了,95.4万,5617,花花与三猫CatLive,1633868
【鬼谷说】啮齿类：群鼠的远征,71.5万,9015,芳斯塔芙,1617962
靠谱盘点102：厂长复出？主教练正在热身！Clearlove11即将连接？,139.6万,1万,靠谱电竞,1614011
爸妈居然和我一起演奏Lemon？圆号，小提琴和……电音蝌蚪？？,91.5万,2914,EZ音乐,1603501
【罗翔】网络时代，我们该如何看待“人肉搜索”,73.7万,7385,罗翔说刑法,1572045
不再撤回|2020最美的夜bilibili晚会主题影片烧脑上线,281.5万,2.4万,哔哩哔哩晚会,1571926
洗脑神曲！《澜拿蓝》，你被洗脑了吗？,98.4万,725,居角接头霸王,1556111
骁话一下：特朗普杀敌八百自损三千，为什么川粉还爱他,130.1万,1.5万,观察者网,1552144
和牛油炸帝王蟹，男人的快乐就是这么简单！,135.6万,6099,大祥哥来了,1533780
长 寿 口 诀,79.5万,780,枪弹轨迹,1450040
人均341元排队爆满！切一刀牛肉竟要500元？妙龄少女的破产逛吃之旅……,100.2万,8067,二喵的饭,1419865
【暴走大事件第七季】08蓝“赛博朋克”版水浒传正在播放，王尼玛整新活玩转另类直播！,87.7万,8367,暴走漫画,1419739
澳门的肯德基卖什么？和我们内地肯德基区别大吗？,95.9万,5956,波靖仔,1407794
【老E】赛博朋克2077个BUG,93.9万,4585,EdmundDZhang,1362419
买保时捷911只为了这个？！,73.3万,2507,视角姬,1351492
漫威第四阶段比肩灭霸的最终Boss，我希望是他,90.1万,4767,努力的Lorre,1341883
【片片】人渣残害8岁幼女，入狱12年从未悔改，最痛心的一次解说！,60.4万,7495,小片片说大片,1329141
后  现  代  古  典  音  乐,60.3万,1013,TSAR-,1328528
B站的朋友们大家好，葛叔我来了！,58.3万,1542,葛平,1315912
《赛博朋克2077》传说武器与装备收集攻略（持续更新中）,45.6万,463,游戏老一夏,1280362
Bug也跟不上我的速度！,97.4万,3607,盒子酸奶,1269092
大司马B站首次读评论，在座的各位都是“人才”！,106.8万,5521,芜湖大司马,1246766
国家一级演员的演技究竟可以有多炸裂，不敢看第二遍 太逼真了！,108.9万,1853,荒草音乐,1245616
【亮记生物鉴定】真正的雨花石长什么样？,74.9万,7701,无穷小亮的科普日常,1216052
10W日元挑战日本最大扭蛋机！里面竟然.....,42万,7250,飞社长,1214531
外媒：中国成为全球第二个在月球插旗的国家 印度：我们是疫情才落后的！网友：我开始怀疑美国国旗是不是真的了。。,83万,3034,知日酱,1209684
【进击的巨人最终季第四季OP】4K60帧 革命终章 主题曲 我的战争 Dain app AI补帧 Topaz Video Enhance AI超分辨率,78.4万,734,Mr_Benber,1203600
“生命不止息，心火燃不尽”,36.7万,825,幸运猎手,1201211
【打泥泥】逃离那个名为“家”的地方…,48.2万,1万,打泥泥,1197134
早安，南方人！（过 冬 限 定 版）,63.3万,1207,萌新二次方,1177652
干饭人之魂！,81.1万,821,盖世猪猪丶,1173847
【STN快报第五季21】你的下一台PS5，何必只是ps5,59.8万,7729,STN工作室,1173617
默契挑战,87.7万,4493,十二礼,1173596
这个泡面机器人花了我648.....,104.7万,7468,贤宝宝Baby,1169261
鎖那 - 备忘录,28.8万,1582,鎖那_official,1166618
巨毒树下烤乳猪，恰饭就硬恰，真全村人吃饭,64.2万,7906,大漠叔叔,1160316
赛博朋克是资本主义的终极形态吗？控制论革命的残酷真相【游戏社会学】,36.4万,5895,学院派Academia,1142862
限量发售，排队限购的米其林甜点，劝你不要自己做！,74.3万,1942,绵羊料理,1140398
【巅峰数据排行】12_全英雄击杀次数对比！第一堪称死神！,48.2万,1225,月爱,1138472
用《红色警戒2》的苏俄磁能发电厂给手机充电！硬核纪念红警。,77.9万,2765,LCLDIY,1126496
2077赛博朋克~新手隐藏福利，传说武器，传说装备，传说图纸（不断更新）,36.1万,369,鲁路修兰佩鲁济,1124864
字字铿锵！“外交天团”2020年金句盘点,46.8万,993,央视新闻,1094069
“冬夜的一锅温暖 隔壁老王都馋疯了”【怎么这么值 EP01】,45.8万,5416,王师傅和小毛毛,1088792
我做出来了！MC里最平缓（没用）的楼梯！！！,63.7万,1633,平平淡淡梁桑菌,1087626
《原神》1.2版本PV：「白垩与黑龙」,96.7万,1.6万,原神,1087027
大佐的肯定原视频（不含BGM）,130.5万,282,登风君,1081890
进 击 的 郎 朗,84.4万,596,童嘎,1061751
【4K】老戴《赛博朋克 2077》全故事剧情流程解说【持续更新ING】,104.2万,1.5万,老戴在此,1061452
女朋友被偷窥上传P站 我追凶28天查出背后偷拍产业链,100.4万,1276,白帽黑客教程,1056170
闲鱼买个古铜镜回来抛光，古装剧没有骗人，铜镜真的可以当镜子。,84.3万,3162,我是彭嘉诚,1055037
女装大佬用变声器，骗亲哥网恋，见面时差点断绝关系,64.7万,1.2万,在下哲别,1047251
【老邪吐槽】林更新还怒喷网友？逆天吐槽无脑恋爱悬疑《最初的相遇》,69.8万,8220,老邪说电影,1046793
【泠鸢·原创】远旅休憩中的邂逅 - Intersection【折纸信笺】一切随时间归于平淡，却又变得更加梦幻。,28万,1838,泠鸢yousa,1046766
闺蜜脱单了发这个给她看,64.3万,257,无敌灏克666,1041751
猫和老鼠-2077,56.2万,429,庄不纯,1014910
81年前，他掀起了一场世界大战【历史调研室17】,68万,2948,历史调研室,1002180
垃圾生存游戏 每只恐龙身上都有BUG！,80.5万,2824,敖厂长,1001671
自制钓猫诸葛连弩，猫：快 射 我 啊 ！,46.3万,2929,蒂姆嘟嘟Tim,995873
建这个东西花了我一周！【全程高能15】,33.5万,7459,吉儿一范伦婷,993909
【矢野浩二】日本第一女仆咖啡店，全日本排名前二十女仆给我服务！舒服,43.3万,5447,矢野浩二,992916
手工耿的锅做菜真的好用吗？,81.5万,8606,老坛胡说,989771
【不止游戏】游戏中的燃烧照明棒，现实究竟有多亮？,62.2万,3899,森纳映画,989557
