课 堂 请 勿 对 对 子 2.0 ！！！,224.3万,1.7万,三十六贱笑,3838613
史上最强！2021年1月新番导视！,242.1万,4万,LexBurner,3830255
你当你的火影，我做我的海贼王，这很合理吧！！,186.6万,2980,-夏秋冬-,2092642
大家好，我是日本声优丰崎爱生，我来B站啦！,114.2万,9042,丰崎爱生Official,1946647
125位艺术家，125种截然不同的平行宇宙畅想,75.2万,1536,YouTube精选字幕组,1796829
如果火影是日常画风 火影×日常op,73万,820,热心市民周湿傅,1793142
漫威第四阶段比肩灭霸的最终Boss，我希望是他,90.1万,4767,努力的Lorre,1341883
【进击的巨人最终季第四季OP】4K60帧 革命终章 主题曲 我的战争 Dain app AI补帧 Topaz Video Enhance AI超分辨率,78.4万,734,Mr_Benber,1203600
干饭人之魂！,81.1万,821,盖世猪猪丶,1173847
猫和老鼠-2077,56.2万,429,庄不纯,1014910
我的悲惨在你之上!【阅片无数动漫篇18】,85.7万,3782,凉风Kaze,990607
B 站 各 等 级 用 户 现 状,37.1万,3594,进击的金厂长,920112
全  明  星  回  战,26.3万,440,-SHL-,909894
《空 城 计》,59.3万,1413,冷淡熊,898859
【干货】4类热门模玩科普+对比展示丨包罗万象8,33.1万,6682,-LKs-,896027
“所以作为炎柱的我来了！”,35.5万,618,EM47,749732
含泪推荐！2020年最好的动画电影！,43.9万,906,瓶子君152,715615
你成功引起我的注意8.0,28.1万,1242,面粉社长,705286
朗姆身份正式确定！带来巨大“蝴蝶效应”！柯南最新主线情报漫画1064话-1066话！,36.9万,2810,黝黑蜗壳天眼老师,691409
【进击的巨人】第四季14.艾伦开启秽土转生模式，史前九大巨人全部登场！鄂巨一飞冲天！（12月最新章）,39万,1892,光影笔墨,593435
【崩坏3】女武神与飞鱼丸,21.5万,577,拉环儿_,591025
【声优搞事】用派蒙的声音读台词！前面的区域...,32.9万,896,多多poi丶,568928
平成三流氓，专打五帝王,36.8万,280,南音之韵,498875
女生根本无法抵抗的浪漫礼物 | 原创动画 | 我的爸爸是条龙哦,27.8万,261,我的爸爸是条龙哦,496993
48秒速通星尘斗士,24.9万,252,弓长老头,494956
海绵宝宝：我感觉失去了前进的动力,20.2万,552,丰兄来了,483004
【搞笑芭比配音】 凡 尔 赛 公 主,19.4万,1351,元气小鸡血,482395
澜，我偏要跑向你。,25.3万,241,方老师来啦,479110
啊这，我也就看了几百遍吧！！,21.6万,257,Halo_Orbit,477154
前任和现任有什么区别？,25.2万,339,谭盐,459560
神作归来？！《进击的巨人》最终季第1话观后感！【泛式】,30万,1694,泛式,449768
竟有主播被踢出自己直播间还被迫当王八,18.9万,688,白神遥Haruka,447650
I Just Want Attention,31万,88,yoyo鹿鸣_Lumi,441564
【动画】完整版！国人AU 究极传说 衫斯战一阶段,18.8万,1514,亿之猫,433774
前方高燃！给我15秒  让你感受奥特曼的视觉盛宴!!,19.1万,509,雾林山远,419564
好耶，我也就看了几百遍吧！！,15.7万,183,-TS映画-,418455
车门焊死！谁都别想在02的身子上白嫖！,27.4万,226,新酱阿丶,412790
恋柱的队服为啥和别人不一样？【鬼灭之刃番外动画】,22.9万,92,Light小俊,391092
年 轻 の 鼠 王,19.4万,346,白木哒哒哒,388793
【氰化欢乐秀】半空中机长发病！千钧一发之际谁来救急！,26.5万,602,出格字幕组,386997
「巨人最终季」全体起立！燃尽自由的生命，也不愿在囚禁中苟活！！！,15.4万,408,reAct木子,384032
这会成为我半夜燃起来的开端,20.9万,385,_玛导,377964
温迪：听说老哥你被削了？（结尾彩蛋）,21.6万,302,月下.琉璃,373564
卖价贵到底是不是原罪？SSF爱蜜莉雅水晶礼服Ver.开箱分享!【虾米开箱时间】,23万,650,虾米大模王,373364
【咒术回战】只要三分钟，帅到喊老公/五条悟专场/疯批美人/战力天花板/5t5/舔颜/新番/颜值天花板/个人向/单人向,15.3万,1247,咕咕不鸽,371532
“你有多久没在12点前睡觉了？”,11.8万,364,她整夜在写信,367652
每日亿遍！来自老婆们的甜蜜暴击，请自带血包,22.5万,242,程情写意,365136
如果生活日常变成了动画!?超中二!【捏碳小剧场】搞笑|原创动画,14.2万,965,捏碳碳碳碳,361120
【阴阳师】VORACITY同人手书,7.2万,592,ZXllor,359903
【咒术回战】当你没自信时进来看看,8.4万,188,一乐青,359196
曾火遍全网的《溯》，你是否还知道？,17万,262,三笠・阿克曼,313364
【神楽七奈×花园花玲】ぴこぴこ東京-Pico Pico Tokyo【翻唱】,14万,206,神楽七奈Official,309617
【咒术回战】快来看你们老公跳舞,11.5万,296,空明无尘几度飞花,306491
在？进来一起  起舞 Dancin (Krono Remix),8万,351,Origami折纸哟,294129
"派大星：老 爹 ，那 个 ""币"" 是  骗 子 投 的 ！",13.2万,547,白小楠二号,290096
“心中无女人，变身自然神！”,14.5万,91,沐橙风_0425,289715
最终boss现身，泽塔被打濒死，再次变身的话遥辉会死？【泽塔奥特曼第24集】,17.2万,1984,ultraWYY,282515
如何回复老板的“辛苦了”,12.9万,274,小透明阿九,280887
子 安 五 人,14.1万,493,木下下下下下下下,277992
这照片是你吗？,16.5万,180,小栗子哥,268050
要 素 察 觉 ！【魔性剪辑＃04】,17.4万,65,Baka恶魔,265225
【明日方舟】惊蛰的静电,10.5万,38,DrMalF,263342
你已被移出群聊……,18.2万,68,爆笑两姐妹,262668
我是吓晕的,17.3万,118,王蓝莓同学,259429
“天暗下来，你就是光”,7.5万,318,空白北有凉城,258937
《小猪佩奇》苏联版,13.8万,360,s猴,252771
"女朋友的脑回路,实在搞不懂~~",13.5万,192,杰克大魔王jack,245387
【进击的巨人】最终季OP浅谈！你有没有被新神曲洗脑？【他她漫漫聊】,13.6万,1025,他她漫漫聊,244804
同 步 率 100%,17.7万,124,帅气上班族吉良,244425
【咒术回战】果然五条悟做什么都不会ooc呢,9.3万,132,白泽今天依旧在画画,242871
【恶玉回战完整版】让全员恶玉逛海澜之家！！,7.9万,234,lizzz栗子,242339
这照片是你吗？,20.8万,103,梁山奥特曼,241914
三年之期已到！动画毕业生自制【回家的诱惑】！,14.4万,780,猩猩自制,241786
【 十 二 月 新 番 】2020 动 画 化 完 结 ！！,8.7万,1413,钉钉DingTalk,241734
【warma】沃玛的新番更新！从现在开始放飞自我【沃玛的生活/第三期】,12.1万,192,Warma,240836
巨人最终季究极上头版OP！可单曲循环！越听越上瘾！鬼知道我听了多少遍！,14万,490,艾倫・耶格爾,239954
派大星从没让人失望~（1）,15.1万,328,硬核的唐小六,237863
【咒术回战meme/五条悟生贺】Machine Gun（有微量剧透注意）,5.4万,196,月刺啾,235771
替身训练大师,10.1万,196,有超超,235424
【全员恶玉手书】【欺诈杀向】狂おしいほど僕には美しい,7.4万,177,麻烦烦烦烦烦,229461
【伊蕾娜】妙啊！交换身体后再也不想换回去了！,15.8万,25,元气的卤蛋,229268
最终BOSS登场，赛雷布洛的毁灭游戏！解说泽塔奥特曼第24集,13.7万,717,Mr三水君,227145
假如唐僧在女儿国用上了反土味情话,15.1万,132,芦苇十三少,226114
【咒术回战】四大最强特级术师全介绍！人类的最强战力天花板有多强！,18.4万,260,最帅的UP,224265
不愧是贝利亚！年轻的时候都这么心狠手辣！,16.3万,364,天桥底下的老师姬,222905
苏卡不列！谁敢说我没内味？！,14.7万,439,血小板゚゚゚゚゚゚,222824
派大星：在吗生活？来过两招,10.8万,214,良心发作的chunchun,217828
我的朋友很少 但我女朋友的很多,12.5万,197,星宮汐Official,215677
RUM=厨师石锤！？名侦探柯南最新主线太爆炸了！,13.8万,585,哀是麦子的球迷,215503
看了进击的巨人最终季op的反应,18.1万,54,来啊来啊hhh,215393
《复联4》真正结局！雷神战死，美队遭辱，钢铁侠获得最强战甲,15.8万,269,神经局局长,213792
福尔摩斯你在干什么！我真的受不了啊啊啊啊啊，能不能不在我面前系鞋带啊！,19.1万,55,逗比的雀巢,213596
小伙6年攒一屋子玩具，放满140平地下室太壮观了-刘哥模玩,9.7万,2118,刘哥模玩,210514
【4K】轻飘飘的初音~愿望什么的，如果能实现的话，想跳向天空啊,4万,64,饱和式狂想,207943
爷爷奶奶返老还童了！两人都是帅哥美女？！,13.1万,185,怠惰の守夜,207789
假面骑士233：第2话,12万,205,蜗牛小锋,206269
【手书】JO 术 回 战 （完整版）！,7.9万,133,魃赫菌,205664
靠虐粉爆火的作品？《电锯人》究竟在想啥？（ 虚研会038 ）,7.4万,1105,小希小桃Channel,204467
【十月新番男神混剪】指尖轻触，眼波流转，杀人无形,7.4万,288,吴玥明明,204191
【咒术回战】快来看老公们跳舞吧,6.3万,453,大橘hana,203822
