谈恋爱吗？会没命的那种哦,53.9万,913,阿巳与小铃铛,778301
是谁强奸了我们的审美？从《镖人》来看这个越来越软的时代,27.1万,1780,滑稽中二梦,567208
【小舞献祭】这部国漫238亿！134集！播出整整1319天！创造了国漫史上的奇迹！,34万,335,玄机科技粉丝后援会,494364
【百万混剪】小舞献祭！斗罗大陆最泪目一刻！,20万,719,喜欢剪辑的萌特君,479488
这部动画渣出世界！海外热搜！姐妹，下次打断海王的腿。,35.1万,655,老北海le-,410731
你永远不知道杰伦的中国风有多适合剪国漫,27.4万,252,陈雅楠cyn,390965
你知道熊出没起源吗？,18.4万,97,熊出没BoonieBears,291607
“我即一人，压尽天下！”【一人之下】,19.5万,99,陈晨辰鸭,285559
史上最惨国漫！因声优支持肖战风评被害，卑微作者在线求放过！,18.7万,661,卡密の密,278349
小时候只看癞皮蛇的坏，长大后看才知道这或许就是坏的执念吧！,26.3万,110,努力变得更好的小志,267562
小时候看单纯以为反派都是坏人，长大后才发现他们只是将社会看得更加透彻而已！,13.1万,323,空门花崽,226006
极致震撼！小舞献祭！场面直击心脏！我先哭为敬了！【斗罗大陆134集】,18.2万,146,橘子炸成汁,215940
“喜羊羊，你可知我们为何与世界为敌？”,11.7万,150,神奇的千千,211415
"主角全程被虐,反派至今未死！《东方神娃》两个孩子实在是太惨了！",16.1万,216,关云猖,203015
她是我年少惊艳，只一眼 便沦陷,10.5万,90,国漫唯美风,186798
全是名场面！那些小时候看过却记不起名字的动漫,13.4万,815,喜欢数码的陈同学,185346
【伍六七】第3季PV来了！满屏都是谎言，导演带头“搞事”,14.8万,36,一图超人,165285
《天上掉下个猪八戒》这剧情才叫黑神话，一场从头骗到尾的西行路,11.8万,57,都说先生,158887
【喜羊羊与灰太狼/踩点魔性合唱】羊羊爱乐团：来一段刻进DNA的“报菜名”,5.7万,183,灰太狼办公室,158583
B站收购绘梦？腰斩腾讯国创梦？！,7.2万,251,低调的帅爷,158487
【拳头说书】解读《天官赐福》原著小说（第四期）谢怜猜中三郎身份！半月关副本完结,4.9万,836,名侦探拳头,148040
一个小声优吹爆《剑来》的理由，是时候谈谈国内的配音圈了~,7.6万,912,亚食人,145177
【斗罗134】小舞献祭，一集封神，哭了无数人，我是真的哭了！,11万,114,二次CARTOON,141881
全职IP陨落，没有人愿意看敷衍自己的作品！全职细节系列终章,9.4万,389,我在墙角画圈圈,141714
【伍六七第三季 玄武国篇】恭迎首席归来！剪子们，你们早思晚想的暗影刺客回来啦！,12.7万,40,樱木菌,141274
自律的人类是有多么可怕！,8.2万,107,布里奈德,141223
当“喜羊羊”踩点的那一刻，灰太狼就要抖一抖,4.9万,139,可口的红糖,140095
官方消息：《星游记之冲出地球》定档2021，这次一定要给我高高飞起来啊！！！,7.2万,190,依枝老母猪影业,122522
一群喵summer time,6.8万,187,我是肥志,101823
【大大怪】遥想当年，我一人败退了千军万马,6.5万,70,独孤崭夏,101663
骚不过，帅不过，男神骚起来没凡人什么事了【武庚纪/玄风/玄机】,5.3万,114,九日耀空,100045
【魁拔】你身体振荡的脉门，便是我今生不变的信仰！,5.8万,167,谷雨溪,96780
斗罗大陆134集（小舞献祭了成为了唐三的魂环魂骨）,9.3万,92,泽空漫剪,94115
灰太狼：我颠覆了整个世界，只为换你一次回眸,5.7万,428,你妹西天取金,91295
【裸眼3D斗罗大陆】唐三拼死救小舞！唐门绝学战武魂！,5.9万,51,真仁菌子,87883
极致震撼！小舞献祭！唐三暴走了！这集给多少人看哭了？！！！,6.3万,123,月下温柔风,85121
【周余】这部国产动漫竟然连海报都能照抄？？？,4.8万,167,不知所措的周余,83975
【斗罗大陆】没看错。就是一集封神！播放破亿,7.4万,22,IU是个小海绵,79843
【210技术】战双帕弥什露娜CG幕后制作花絮,3万,146,两点十分动漫,78085
【天官】花城的双马尾?城主发量变多啦!,6.4万,51,愚者ooo,77359
灵笼粉丝必看！还原灵笼剧本，全网最细最全干货！【灵笼】深度解析/总结篇,3.4万,128,利维坦mY,76441
【刺客伍六七 生日快乐】自制庆生动画，感谢一路相伴,3.9万,20,Ami喜欢吃葡萄,74464
高能！国漫中的十大经典台词,5.1万,233,妖主杀生丸,71133
这大概就是外国人所无法理解的国漫之美！,3.9万,65,Cat_coco,69535
青梅竹马，终究抵不过门当户对。,4.1万,35,傾梅z,68984
盘点天官赐福虐心名场面，孩子已经哭傻了，你没感觉就白嫖吧,3.4万,211,猛弟嗑糖,66266
【4K60帧/极致丝滑】斗罗大陆 | 小舞献祭名场面高配版画质+高帧率，一集封神、一集十亿，“永别了，我的爱人~”,2.6万,148,小陌东东,66020
哭死了！小舞献祭！这爱情竟如此绝美！【斗罗134集】,4.5万,22,玖紫星,63929
配音教学广告推送给了姜sir？希望姜sir不要报名 给人家留条活路,3.8万,96,孙路路最棒,61370
【纸条摘抄】能写进中考/高考作文的动漫句子第四弹 | 附解析示例 | 国漫特辑,2.1万,188,纸条App,59788
【伍六七第三季】pv全解析，剧情其实还在第二季，导演果然没骗人!,2.9万,156,阿狸波波233,59385
【斗罗大陆134】小舞献祭，他为她自残取骨，她为他献祭灵魂！！！执子之手，陪你痴狂千生；深吻子眸，伴你万世轮回。,3.4万,71,-鎏鸢Aukis-,55768
3天时间，唐三补齐了蓝银皇9个魂环，昊天锤也增加到3个魂环,5.3万,40,漫道社,54859
显微镜看【伍六七第三季pv】，竟有这么多细节！,4万,64,凉凉的云川诶,54378
【元气星魂】每日一遍，童年再现！,2.7万,113,飞崽儿,53977
这次，也让我当一回英雄吧【12部国漫励志混剪】,2.6万,18,白色的橘猫,53282
小时候以为是喜剧，长大后发现全是刀子! ! !,2.5万,55,次元小主,53138
熊出没中讽刺抢楼的片段,4.2万,158,zombie123-,52654
国创史上第一美强惨！17岁入巅峰！这叫皇城在逃六皇子【萧瑟】,2.9万,52,辛夷神说,52642
当懒羊羊拔剑的那一刻，整个草原都为之颤抖,3.7万,33,西柚XiYo_,51222
“既然他入不了杨门，我就随他入了木家”木蔑父母的爱情，一上来就这么虐吗,3.8万,26,是子熹吗,50816
【斗罗大陆】极致震撼！小舞献祭：永别了，我的爱人！！！,3万,62,大白兔白不白,50285
时代在召唤！一二三四五六七八 二二三四五六七八【天官赐福】,2.2万,128,T诸神黄昏T,49408
唐三晋升封号斗罗,4.5万,26,米彩漫剪,48341
“远赴人间惊鸿宴，谈笑风生不动情”,2.7万,54,-TS映画-,47821
这才是许多中国人也无法理解的国漫之美！之壮哉！,2.6万,68,-涂山小当家-,46730
我琢磨了两个半月 最终发现了《哪吒之魔童降世》的正确打开方式,3.2万,17,小x文,46585
【一人之下】姑娘，这道袍一脱，您可就高攀不起了，这样的王也你喜欢吗？,2.4万,38,是唐十一呀,43746
【童年测试】只听OP前奏你能知道是哪部动画吗？（偏00后）（第一期）,2.8万,457,心傷卻無悔,43420
三哥你为了小舞鼻青脸肿的样子真的很帅！小舞献祭！虐到直戳心脏！【斗罗大陆】,2.5万,43,谢绝贩卖的辣条,43203
“愿你们，成为国产动画未来的光芒。”——2020小宇宙新星计划,2.2万,15,哔哩哔哩国创,42760
曹贼:“你品，你细品，悟了没？”枸杞当饭也难医！！,2.7万,48,国漫洛星羽,41672
| 60部国漫混剪 | 燃起来了，12月高能警告,1.7万,73,向光向光向光,40727
【伍六七第三季 玄武国篇】时隔一年，恭迎首席归来！让我们期待阿柒征服玄武国！,3.3万,28,偶嗨哟☆,40653
这部国漫因为太良心，所以倒闭了！,3.6万,25,万年咸鱼阿,39700
【斗罗大陆】一集封神！有多少人被这首歌燃哭了！,2.8万,50,姬弦-zy,38068
【天官赐福】轮到扶摇来给你洗脑了,2.4万,12,红林檎近,37297
花城广播体操，现在开始,2.6万,24,汤沃尔呗理文啵,36886
“我见众生皆无意，唯遇你动了情”,1.9万,11,-瓜哥-,36730
【半月国师】那个被不断吊死在罪人坑上的少女，曾经也有一位忠实的拥护者，他叫刻磨。,2.9万,6,包子不爱吃饼,35884
《天官赐福》之“太子妃”升职记——花城的千层套路,2.7万,9,糖酒效应,35342
武当王，也拜见老天师【一人之下】,1.8万,47,小起妙啊,34448
若大大怪重回巅峰，试问，有谁能抵御灰心星球的侵略,2.6万,7,天天动漫社-,34235
【斗罗大陆】小舞献祭！“永别了，我的爱人”,1.5万,60,荒也鹿,34230
【天官赐福】又一次走出国门！！我也想体验一把被天官投屏包围的快乐！！！,1.8万,29,十二梦回星光岛,33533
玄机高龄老男团：男人越老越香！,1.7万,102,寒冬中缭乱的冰,33101
这难道就是涂山三位当家的魅力吗？庆祝《沐天城篇》定档！,1.8万,58,如果当初不那么笨,33098
《超兽武装》主题曲MV（up自剪辑完整版）,1.9万,98,紫银风,32523
小时候以为是喜剧，长大后才发现全是刀子！！！,2.2万,18,白蛇小白,32432
凡人修仙传18集，燕家堡之战，韩立要开副本了,3.1万,49,啊噗剪辑,32399
看过这些动画的人都老了,2.6万,80,凉风Kaze,30503
《王者？别闹！》第27集预告我还没上车呢？,2.8万,11,萌芒兔,30419
【天官赐福】蝎尾蛇：想当年俺也算是半月关的地头蛇，直到我遇到了花城。。。。。,2.4万,3,Lcos狗蛋,29821
南宫问天有几个老婆？,2.2万,15,迷人仄,29262
【中国配音演员06】都是怪物系列之苏尚卿，双儿原来是这样？！,1.7万,130,奇思Cheers,28883
当你把珍藏的查理九世1至27册全找出来,2万,134,千瑞幽灵,27547
【童年的OP】你小时候必定听过的20首好听有毒的动画主题曲,1.4万,340,Keyboard_,27498
《七实想见你》伍六七生日歌,1.3万,8,啊哈娱乐,27466
全b站的人都在心疼小舞，只有我心疼娜娜么？,2.3万,33,cola青蛙,26738
帕帕的那句“哈啊”让我印象深刻!!(帕帕素材来源ks),8316,8,喜澈永爱帕帕,26658
